English,Romanized,TeluguScript,Audio,Example,Tags,ID,Source,Section,Category,Tier,Flag,AlsoSeenIn
I,nēnu,నేను,,nēnu vidyārthini.,src::lesson-01 cat::pronoun tier::core,W0001,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — subject,pronoun,core,,
you (informal — close friends/family only),nuvvu,నువ్వు,,nuvvu vidyārthivi.,src::lesson-01 cat::pronoun tier::core,W0002,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — subject,pronoun,core,,
you (formal / plural — the safe default),mīru,మీరు,,mīru ṭīcharu.,src::lesson-01 cat::pronoun tier::core,W0003,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — subject,pronoun,core,,
we (inclusive — includes the listener),manamu,మనము,,manam vidyārthulamu.,src::lesson-01 cat::pronoun tier::core,W0004,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — subject,pronoun,core,,
we (exclusive — not the listener),mēmu,మేము,,mēmu vidyārthulamu.,src::lesson-01 cat::pronoun tier::core,W0005,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — subject,pronoun,core,,
he (formal — to/about an elder),āyana,ఆయన,,āyana ṭīcharu.,src::lesson-01 cat::pronoun tier::core,W0006,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — he / she (distant),pronoun,core,,
he (neutral — the default form),atanu,అతను,,atanu vidyārthi.,src::lesson-01 cat::pronoun tier::core,W0007,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — he / she (distant),pronoun,core,,
"he (informal — intimates only, caution)",vāḍu,వాడు,,vāḍu vidyārthi.,src::lesson-01 cat::pronoun tier::core,W0008,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — he / she (distant),pronoun,core,,
she (formal — to/about an elder),āviḍa,ఆవిడ,,āviḍa ṭīcharu.,src::lesson-01 cat::pronoun tier::core,W0009,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — he / she (distant),pronoun,core,,
she (neutral — the default form),āme,ఆమె,,āme vidyārthi.,src::lesson-01 cat::pronoun tier::core,W0010,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — he / she (distant),pronoun,core,,
it / she (informal) — that one,adi,అది,,adi kāru.,src::lesson-01 cat::pronoun-demonstrative tier::core,W0011,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — it / they & demonstratives,pronoun-demonstrative,core,,
this / it — the near form of adi,idi,ఇది,,idi kāru.,src::lesson-01 cat::pronoun-demonstrative tier::core,W0012,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — it / they & demonstratives,pronoun-demonstrative,core,,
they (people),vāḷḷu,వాళ్ళు,,vāḷḷu vidyārthulu.,src::lesson-01 cat::pronoun tier::core,W0013,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — it / they & demonstratives,pronoun,core,,
they (things / non-human),avi,అవి,,avi kārlu.,src::lesson-01 cat::pronoun-demonstrative tier::core,W0014,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — it / they & demonstratives,pronoun-demonstrative,core,,
"he (formal, nearby — near form of āyana)",īyana,ఈయన,,īyana ṭīcharu.,src::lesson-01 cat::pronoun tier::core,W0015,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — near counterparts,pronoun,core,,
"he (neutral, nearby — near form of atanu)",itanu,ఇతను,,itanu vidyārthi.,src::lesson-01 cat::pronoun tier::core,W0016,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — near counterparts,pronoun,core,,
"he (informal, nearby — near form of vāḍu)",vīḍu,వీడు,,vīḍu vidyārthi.,src::lesson-01 cat::pronoun tier::core,W0017,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — near counterparts,pronoun,core,,
"she (formal, nearby — near form of āviḍa)",īviḍa,ఈవిడ,,īviḍa ṭīcharu.,src::lesson-01 cat::pronoun tier::core,W0018,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — near counterparts,pronoun,core,,
"she (neutral, nearby — near form of āme)",īme,ఈమె,,īme vidyārthi.,src::lesson-01 cat::pronoun tier::core,W0019,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — near counterparts,pronoun,core,,
they (nearby people — near form of vāḷḷu),vīḷḷu,వీళ్ళు,,vīḷḷu vidyārthulu.,src::lesson-01 cat::pronoun tier::core,W0020,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — near counterparts,pronoun,core,,
these (objects / non-human — near form of avi),ivi,ఇవి,,ivi kārlu.,src::lesson-01 cat::pronoun-demonstrative tier::core,W0021,"Lesson 1 · Pronouns & the missing ""to be""",Pronouns — near counterparts,pronoun-demonstrative,core,,
student,vidyārthi,విద్యార్థి,,Raj vidyārthi.,src::lesson-01 cat::noun tier::core,W0022,"Lesson 1 · Pronouns & the missing ""to be""",Nouns & the little words,noun,core,,
students (plural),vidyārthulu,విద్యార్థులు,,vāḷḷu vidyārthulu.,src::lesson-01 cat::noun tier::core,W0023,"Lesson 1 · Pronouns & the missing ""to be""",Nouns & the little words,noun,core,,
teacher (loanword),ṭīcharu,టీచర్,,mīru ṭīcharu.,src::lesson-01 cat::noun tier::core,W0024,"Lesson 1 · Pronouns & the missing ""to be""",Nouns & the little words,noun,core,,
car (loanword),kāru,కారు,,idi kāru.,src::lesson-01 cat::noun tier::core,W0025,"Lesson 1 · Pronouns & the missing ""to be""",Nouns & the little words,noun,core,,
"a / an (indefinite — optional, for emphasis)",oka,ఒక,,oka vidyārthi.,src::lesson-01 cat::numeral-determiner tier::core,W0026,"Lesson 1 · Pronouns & the missing ""to be""",Nouns & the little words,numeral-determiner,core,,
"a greeting — ""hello / greetings""",namaskāraṁ,నమస్కారం,,namaskāraṁ aṇḍi.,src::lesson-01 cat::formula tier::core,W0027,"Lesson 1 · Pronouns & the missing ""to be""",Nouns & the little words,formula,core,,
boy,abbāyi,అబ్బాయి,,nēnu abbāyini.,src::lesson-02 cat::noun tier::core,W0028,Lesson 2 · Introductions,Describing yourself — people words,noun,core,,song-gira-gira
girl,ammāyi,అమ్మాయి,,nēnu ammāyini.,src::lesson-02 cat::noun tier::core,W0029,Lesson 2 · Introductions,Describing yourself — people words,noun,core,,
man (course form — see rule 04; Lesson 4 confirms this means “husband”),moguḍu,మొగుడు,,nā moguḍu enjinīr.,src::lesson-02 cat::noun-family tier::core,W0030,Lesson 2 · Introductions,Describing yourself — people words,noun-family,core,,lesson-04
woman,āḍadi,ఆడది,,nēnu āḍadini.,src::lesson-02 cat::noun tier::core,W0031,Lesson 2 · Introductions,Describing yourself — people words,noun,core,,
person / human being,manishi,మనిషి,,nēnu manishini.,src::lesson-02 cat::noun tier::core,W0032,Lesson 2 · Introductions,Describing yourself — people words,noun,core,,
"teacher (male, formal Telugu form)",upādhyāyuḍu,ఉపాధ్యాయుడు,,nēnu upādhyāyuḍini.,src::lesson-02 cat::noun-profession tier::core,W0033,Lesson 2 · Introductions,Professions — Telugu forms,noun-profession,core,,
"teacher (female, formal Telugu form)",upādhyāyurālu,ఉపాధ్యాయురాలు,,nēnu upādhyāyurālini.,src::lesson-02 cat::noun-profession tier::core,W0034,Lesson 2 · Introductions,Professions — Telugu forms,noun-profession,core,,
"doctor (male, formal Telugu form)",vaidyuḍu,వైద్యుడు,,āyana oka vaidyuḍu.,src::lesson-02 cat::noun-profession tier::core,W0035,Lesson 2 · Introductions,Professions — Telugu forms,noun-profession,core,,
"doctor (female, formal Telugu form)",vaidyurālu,వైద్యురాలు,,āme oka vaidyurālu.,src::lesson-02 cat::noun-profession tier::core,W0036,Lesson 2 · Introductions,Professions — Telugu forms,noun-profession,core,,
lawyer,nyāyavādi,న్యాయవాది,,nēnu nyāyavādini.,src::lesson-02 cat::noun-profession tier::core,W0037,Lesson 2 · Introductions,Professions — Telugu forms,noun-profession,core,,
"engineer (Telugu form — recognise only, never used in speech)",abhiyanta,అభియంత,,nēnu enjinīrni.,src::lesson-02 cat::noun-profession tier::core,W0038,Lesson 2 · Introductions,Professions — Telugu forms,noun-profession,core,,
doctor (loanword — the everyday choice),ḍākṭaru,డాక్టర్,,nā ḍākṭar pēru Sophia.,src::lesson-02 cat::noun-profession tier::core,W0039,Lesson 2 · Introductions,Professions — Telugu forms,noun-profession,core,,
my (before a noun),nā,నా,,nā pēru Raj.,src::lesson-02 cat::possessive tier::core,W0040,Lesson 2 · Introductions,Possessives,possessive,core,,
"our (before a noun — also ""my"" for close family)",mā,మా,,mā amma pēru Sunita.,src::lesson-02 cat::possessive tier::core,W0041,Lesson 2 · Introductions,Possessives,possessive,core,,
mine (stands alone),nādi,నాది,,nādi oka kāru.,src::lesson-02 cat::possessive tier::core,W0042,Lesson 2 · Introductions,Possessives,possessive,core,,
ours (stands alone — used for hometown),mādi,మాది,,mādi Hyderabad.,src::lesson-02 cat::possessive tier::core,W0043,Lesson 2 · Introductions,Possessives,possessive,core,,
name (long ē — not like the country Peru),pēru,పేరు,,nā pēru Raj.,src::lesson-02 cat::noun tier::core,W0044,Lesson 2 · Introductions,"Name, age, numbers",noun,core,,
age,vayasu,వయసు,,nā vayasu iravai.,src::lesson-02 cat::noun tier::core,W0045,Lesson 2 · Introductions,"Name, age, numbers",noun,core,,
twenty (20),iravai,ఇరవై,,nā vayasu iravai.,src::lesson-02 cat::numeral tier::core,W0046,Lesson 2 · Introductions,"Name, age, numbers",numeral,core,,
thirty (30),muppai,ముప్పై,,nā vayasu muppai.,src::lesson-02 cat::numeral tier::core,W0047,Lesson 2 · Introductions,"Name, age, numbers",numeral,core,,
"mother (say ""mā amma"" for ""my mother"")",amma,అమ్మ,,mā amma pēru Sunita.,src::lesson-02 cat::noun-family tier::core,W0048,Lesson 2 · Introductions,Family & people close to you,noun-family,core,,
"father (say ""mā nāna"" for ""my father"")",nāna,నాన్న,,mā nāna pēru John.,src::lesson-02 cat::noun-family tier::core,W0049,Lesson 2 · Introductions,Family & people close to you,noun-family,core,,
friend (male),snēhituḍu,స్నేహితుడు,,nā snēhituḍu vidyārthi.,src::lesson-02 cat::noun tier::core,W0050,Lesson 2 · Introductions,Family & people close to you,noun,core,,
friend (female),snēhiturālu,స్నేహితురాలు,,nā snēhiturālu vidyārthi.,src::lesson-02 cat::noun tier::core,W0051,Lesson 2 · Introductions,Family & people close to you,noun,core,,
wife,bhārya,భార్య,,nā bhārya pēru Namrata.,src::lesson-02 cat::noun-family tier::core,W0052,Lesson 2 · Introductions,Family & people close to you,noun-family,core,,
husband,bharta,భర్త,,nā bharta oka ṭīcharu.,src::lesson-02 cat::noun-family tier::core,W0053,Lesson 2 · Introductions,Family & people close to you,noun-family,core,,
town / hometown,ūru,ఊరు,,mā ūru Hyderabad.,src::lesson-02 cat::noun tier::core,W0054,Lesson 2 · Introductions,Where you're from,noun,core,,
native place (own town),sonta ūru,సొంత ఊరు,,mā sonta ūru Hyderabad.,src::lesson-02 cat::phrase tier::core,W0055,Lesson 2 · Introductions,Where you're from,phrase,core,,
country,dēśam,దేశం,,mādi Bhārata Dēśam.,src::lesson-02 cat::noun tier::core,W0056,Lesson 2 · Introductions,Where you're from,noun,core,,
"India (ancient name + ""country"")",Bhārata Dēśam,భారత దేశం,,mādi Bhārata Dēśam.,src::lesson-02 cat::proper-noun tier::core,W0057,Lesson 2 · Introductions,Where you're from,proper-noun,core,,
Indian (male),bhāratīyuḍu,భారతీయుడు,,nēnu bhāratīyuḍini.,src::lesson-02 cat::noun tier::core,W0058,Lesson 2 · Introductions,Where you're from,noun,core,,
Indian (female),bhāratīyurālu,భారతీయురాలు,,nēnu bhāratīyurālini.,src::lesson-02 cat::noun tier::core,W0059,Lesson 2 · Introductions,Where you're from,noun,core,,
mother tongue,mātṛbhāṣa,మాతృభాష,,mā mātṛbhāṣa Telugu.,src::lesson-02 cat::noun tier::core,W0060,Lesson 2 · Introductions,Where you're from,noun,core,,
thank you,dhanyavādālu,ధన్యవాదాలు,,dhanyavādālu.,src::lesson-02 cat::formula tier::core,W0061,Lesson 2 · Introductions,Closing,formula,core,,
"goodbye (lit. ""I'll come back"")",vastānu,వస్తాను,,vastānandi.,src::lesson-03 cat::formula tier::core,W0062,Lesson 3 · Greetings & courtesy,Opening & closing,formula,core,,
please come in / welcome (colloquial),raṇḍi,రండి,,"raṇḍi, raṇḍi.",src::lesson-03 cat::formula tier::core,W0063,Lesson 3 · Greetings & courtesy,Opening & closing,formula,core,,
come (base verb — becomes raṇḍi with aṇḍi),rā,రా,,rā + aṇḍi → raṇḍi,src::lesson-03 cat::verb tier::core,W0064,Lesson 3 · Greetings & courtesy,Opening & closing,verb,core,,
welcome (formal — banners and speeches),svāgataṁ,స్వాగతం,,svāgataṁ aṇḍi.,src::lesson-03 cat::formula tier::core,W0065,Lesson 3 · Greetings & courtesy,Opening & closing,formula,core,,
thank you (colloquial hybrid — the everyday choice),thanks aṇḍi,థాంక్స్ అండి,,thanks aṇḍi.,src::lesson-03 cat::formula tier::core,W0066,Lesson 3 · Greetings & courtesy,Opening & closing,formula,core,,
