legacy	rom
ÆæÿÑ : A¨ HÑ$sìý?	ravi : adi ēmiṭi?
WÇ : A¨ Mæü$Èa.	giri : adi kurcī.
ÆæÿÑ : C¨ HÑ$sìý?	ravi : idi ēmiṭi?
WÇ : C¨ ºËÏ.	giri : idi balla.
ÆæÿÑ : C¨ Vøyæþ.  A¨ ÐéMìüÍ.	ravi : idi gōḍa.  adi vākili.
C¨ M>Æÿ$$™èþ….  A¨ MæüË….	idi kāyitaṁ.  adi kalaṁ.
A¨ VæüyìþÄæý*Ææÿ….	idi pustakaṁ.
C¨ Mæü$MæüP.  A¨ í³ÍÏ.	idi kukka.  adi pilli.
WÇ : H¨ ™èþË$ç³#?  H¨ MìüsìýMîü?	giri : ēdi talupu?  ēdi kiṭikī?
ÆæÿÑ : C¨ ™èþË$ç³#.  A¨ MìüsìýMîü.	ravi : idi talupu.  adi kiṭikī.
ÆæÿÑ : BÄæý$¯èþ GÐèþÆæÿ$?	ravi : āyana evaru?
Ë™èþ : BÄæý$¯èþ Ðèþ*çÙtÆæÿ$V>Ææÿ$.	lata : āyana māṣṭarugāru.
ÆæÿÑ : BÐðþ$ GÐèþÆæÿ$?	ravi : āme evaru?
Ë™èþ : BÐðþ$ sîý^èþÆæÿ$V>Ææÿ$.	lata : āme ṭīcarugāru.
ÆæÿÑ : DÄæý$¯èþ GÐèþÆæÿ$?  DÐðþ$ GÐèþÆæÿ$?	ravi : īyana evaru?  īme evaru?
ÆæÿÑ : BÄæý$¯èþ Æ>Ðèþ*Æ>Ðèþ#V>Ææÿ$.  BÐðþ$ ÎËV>Ææÿ$.	ravi : āyana rāmārāvu gāru.  āme līlagāru.
ÆæÿÑ : Æ>Ðèþ*Æ>Ðèþ# yéMæütÆæÿ$.  ÎË sîý^èþÆæÿ$.	ravi : rāmārāvu ḍākṭaru.  līla ṭīcaru.
Ë™èþ : DÐðþ$ MæüÐèþ$Ë.  DÄæý$¯èþ çÜ$»ê¾Æ>Ðèþ#.	lata : īme kamala.  īyana subbārāvu.
Ë™èþ : GÐèþÆæÿ$ Ððþ*çßý¯Œþ?  GÐèþÆæÿ$ ÑfÄæý$?	lata : evaru mōhan?  evaru vijaya?
ÆæÿÑ : BÄæý$¯èþ Ððþ*çßý¯Œþ.  DÐðþ$ ÑfÄæý$.	ravi : āyana mōhan.  īme vijaya.
A¨ HÑ$sìý? (ºËÏ)	adi ēmiṭi? (balla)
A¨ ºËÏ.	adi balla.
1. A¨ HÑ$sìý? (Mæü$Èa)	adi ēmiṭi? (kurcī)
3. A¨ HÑ$sìý? (VæüyìþÄæý*Ææÿ…)	adi ēmiṭi? (gaḍiyāraṁ)
2. A¨ HÑ$sìý? (MæüË…)	adi ēmiṭi? (kalaṁ)
4. A¨ HÑ$sìý? (Vøyæþ)	adi ēmiṭi? (gōḍa)
BÄæý$¯èþ GÐèþÆæÿ$? (Ðèþ*çÙtÆæÿ$V>Ææÿ$) BÄæý$¯èþ Ðèþ*çÙtÆæÿ$V>Ææÿ$.	āyana evaru? (māṣṭarugāru) āyana māṣṭarugāru.
1. BÄæý$¯èþ GÐèþÆæÿ$? (yéMæütÆæÿ$)	āyana evaru? (ḍākṭaru)
2. DÄæý$¯èþ GÐèþÆæÿ$? (Æ>Ðèþ$Äæý$ÅV>Ææÿ$)	īyana evaru? (rāmayyagāru)
3. BÐðþ$ GÐèþÆæÿ$? ({í³°Þ´ëÌŒý)	āme evaru? (prinsipāl)
4. DÐðþ$ GÐèþÆæÿ$? (ïÜ™èþ)	īme evaru? (sīta)
WÇ GÐèþÆæÿ$? (Ðèþ*çÙtÆæÿ$)	giri evaru? (māṣṭaru)
WÇ Ðèþ*çÙtÆæÿ$.	giri māṣṭaru.
1. Æ>Ðèþ*Æ>Ðèþ# GÐèþÆæÿ$? (Ñ§éÅÇ¦)	rāmārāvu evaru? (vidyārthi)
3. Ë™èþ GÐèþÆæÿ$? (yéMæütÆæÿ$)	lata evaru? (ḍākṭaru)
2. WÇf GÐèþÆæÿ$? (sîý^èþÆæÿ$)	girija evaru? (ṭīcaru)
4. MæüÐèþ$Ë GÐèþÆæÿ$? (Ñ§éÅÇ¦°)	kamala evaru? (vidyārthini)
H¨ ºËÏ?  H¨ Mæü$Èa?	ēdi balla?  ēdi kurcī?
