lesson	te	en
1	అది	that (neut. pro.)
1	ఏమిటి	what (pro.)
1	కుర్చీ	chair
1	ఇది	this (pro.)
1	బల్ల	table/bench
1	గోడ	wall
1	వాకిలి	threshold
1	కాయితం.	paper
1	కలం	pen
1	పుస్తకం	book
1	గడియారం	clock/watch
1	కుక్క	dog
1	పిల్లి	cat
1	ఏది	which (pro.)
1	తలుపు	door
1	కిటికీ	window
1	ఆయన	he (rem. hon.);  that gentleman
1	ఎవరు,	who
1	'మాష్టరు	a male teacher
1	గారు	an honorific marker
1	ఆమె	she (pro.)
1	టీచరు.	teacher (pro.)
1	ఈయన	he/this gentleman (prox. hon.)
1	ఈమె	she/this lady or girl (prox. hon.)
1	ప్రిన్సిపాల్‌	principal (pro.)
1	డాక్టరు	a doctor
1	విద్యార్థిని	female student
1	విద్యార్థి	male student
3	పాపా	child(female), a little girl (an
3	ఫోటో	a photograph
3	తండ్రి	Father (reference term)
3	తల్లి	Mother (reference term)
3	కూతురు	daughter
3	మనవరాలు	grand daughter
3	భర్త	Husband
3	కొడుకు	son
3	భార్య	wife
3	రా	come!
3	స్నేహితుడు	friend (male)
3	ఇల్లు	house
3	అవును	Yes
3	కూర్చో	sit
3	ఏం	What sort/ kind of (adj.)
3	ఇంగ్లీషు	English
3	దాని	its (rem.)
3	దేని	Whose (neut.)
3	దీని	its (prox.)
3	అలాగా	I see! (interjection)
3	మనవడు,	Grandson
3	కాదు	no
3	స్నేహితురాలు	friend (female)
3	గది	room
3	వారు	he/she (rem. formal)
3	నాన్న	father
3	వారి	his/her (rem. formal)
3	వీరు	he/she (prox. formal)
3	అమ్మ	mother
3	వీరి	his/her (prox. formal)
3	తాత	grandfather
3	బాబు	child (male), a little (an
4	మొత్తం	total
4	ఎన్ని	how many
4	ఇవి	these (pro.)
4	ఇంకొక	one more
4	ఈ	this; these
4	ఏ	which (pro.)
4	లో	locative case
4	ఐదు	five
4	రెండు.	two
4	అన్నీ	all of them
4	ఒక	one (adj.)
4	లేవు	neg.of
4	మూడు	three
4	కొన్ని	some of them
