contrast	a_rom	a_telugu	a_english	b_rom	b_telugu	b_english	source	recorded
length	ala	అల	wave	alā	అలా	like that	master	
length	bas	బస్	bus (loanword)	bās	బాస్	boss (loanword)	master	
length	eppuḍu	ఎప్పుడు	when	eppuḍū	ఎప్పుడూ	never; ever	master	
length	gaṭṭiga	గట్టిగ	hard / firm / loudly	gaṭṭigā	గట్టిగా	strongly / firmly	master	
length	nadi	నది	river	nādi	నాది	mine (stands alone)	master	
length	nela	నెల	month	nēla	నేల	ground / floor	master	
length	nenu	నెను	(not a word — the mistake)	nēnu	నేను	I	lesson-02	
length	patrika	పత్రిక	newspaper / magazine	patrikā	పత్రికా	press	master	
length	paḍu	పడు	to fall	pāḍu	పాడు	to sing	master	
length	rōju	రోజు	day	rōjū	రోజూ	daily	master	
length	sankhya	సంఖ్య	number	sankhyā	సంఖ్యా	numeral	master	
length	ēmi	ఏమి	what	ēmī	ఏమీ	nothing	master	
length	ṭrak	ట్రక్	truck	ṭrāk	ట్రాక్	track	master	
retroflex	kala	కల	dream	kaḷa	కళ	art	master	
retroflex	nīti	నీతి	morality / ethics	nīṭi	నీటి	water	master	
retroflex	peḷli	పెళ్లి	Marriage	peḷḷi	పెళ్ళి	wedding	master	
retroflex	pāta	పాత	old (thing)	pāṭa	పాట	song	master	
gemination	muggu	ముగ్గు	rangoli / floor art	mugu	ముగు	to finish / end	master	
gemination	prati	ప్రతి	every / each	pratti	ప్రత్తి	cotton	master	
