kind	num	page	english	raw_rom	telugu	scripts	flags
word	1	5	You	Nuvu	నువ్వ	telugu	
word	2	5	You (Respect)	Miru	మీరు	telugu	
word	3	5	Us	Manam	మనం	telugu	
word	4	5	I	Nenu	నేను	telugu	
word	5	5	We	Memu	మేము	telugu	
word	6	5	They	Vaaru	వారు	telugu	
word	7	5	He	Athadu	అతడు	telugu	
word	8	5	She	Aame	ఆమె	telugu	
word	9	5	It	Idi -Adi	ఇది	telugu	
word	10	5	To me	Naaku	నాకు/ నను	telugu	
word	11	5	To them	Vaariki	వారికి	telugu	
word	12	5	To him	Athaniki	అతనికి	telugu	
word	13	5	Why?	Endhuku ?	ఎందుకు?	telugu	
word	14	6	How ?	Ela ?	ఎలా ?	telugu	
word	15	6	Which ?	Edi ? 2 ?			no-script
word	16	6	How Many ?	Enni ? 2 ?			no-script
word	17	6	How Much ?	Enta ?	ఎంత?	telugu	
word	18	6	When ?	Eppudu ?	ఎప్పుడు?	telugu	
word	19	6	Where ?	Ekkada ?	ఎక్కడ?	telugu	
word	20	6	Who ?	Evaru ?	ఎవరు?	telugu	
word	21	6	Really ?	Nijanga ?			no-script
word	22	6	Is It ?	Auna ? ដ ?			no-script
word	23	6	Thanks	Dhanyavadalu	ధన్యవాదాలు	telugu	
word	24	6	Agree	Angeekarinchu	అంగీకరించు	telugu	
word	25	6	Allow	Anumathinchu	అనుమతించు	telugu	
word	26	6	Believe	Nammu	నమ్ము	telugu	
word	27	7	Stop	Apandi	ఆపండి	telugu	
word	28	7	Home	Illu	ఇల్లు	telugu	
word	29	7	To Buy	Konadam	కొనడం	telugu	
word	30	7	Drinking	Traagu	త్రాగి	telugu	
word	31	7	Sit Down	Koorcho	కూర్చో	telugu	
word	32	7	Understand	Artham cesuko	అర్థంచేసుకో	telugu	
word	33	7	Yes	Avunu	అవును	telugu	
word	34	7	Hello	Namaste	నమస్తే	telugu	
word	35	7					no-english no-romanization no-script
word	36	7			మధ్యాహ్నం	telugu	no-english no-romanization
word	37	7	Evening	Sayantram	సాయంత్రం	telugu	
word	38	7	Mother	Amma	అమ్మ	telugu	
word	39	7	Dad	Nanna	నాన్న	telugu	
word	40	7	Elder brother	Annaya	అన్నయ్య	telugu	
word	41	8	Younger Brother	Thammudu	తమ్ముడు	telugu	
word	42	8	Elder Sister	Akka	అక్క	telugu	
word	43	8	Younger Sister	Chelli	ವಲ್ಲಿ	kannada	kannada-script
word	44	8	Grandfather	Thathaiya / Thathagaaru	తాతయ్య/ తాతగారు	telugu	
word	45	8	Grandmother	Ammama	అమ్మమ్మ	telugu	
word	46	8	Vegetables	Kuragayaalu	కూరగాయలు	telugu	
word	47	8	Brinjal	Vankayaa	వంకాయ	telugu	
word	48	8	Cauliflower	Cauliflower	కాలీఫ్లవర్	telugu	
word	49	8					no-english no-romanization no-script
word	50	8	Coconuts	Kobbarikaya	కొబ్బరి కాయ	telugu	
word	51	8	Mint	Puthina	పుదీనా	telugu	
word	52	8	Peas	Bataani	బఠాణి	telugu	
word	53	8	Onions	Ullipaaya	ఉల్లిపాయ	telugu	
word	54	9	Garlic	Vellullipaya	వెల్లుల్లిపాయ	telugu	
word	55	9	Potato	SKILA Bangaladumpa	బంగాళాదుంప	telugu	
word	56	9	Tomato	Tamata	టమాటా	telugu	
word	57	9	Cucumber	Keera Dosakaya	కీరదోసకాయ	telugu	
word	58	9	Drumstick	Mulakkaya	ములక్కాయ	telugu	
word	59	9	Ladyfinger	Bendakaya	బెండకాయ	telugu	
word	60	9	Color	Rangu	రంగు	telugu	
word	61	9	Black	Nalupu	నలుపు	telugu	
word	62	9	White	Telupu	తెలుపు	telugu	
word	63	9					no-english no-romanization no-script
word	65	9					no-english no-romanization no-script
word	66	9					no-english no-romanization no-script
word	67	9	Godhuma		గోధుమ	telugu	no-romanization
word	68	10	Yellow	Pasupupacha	పసుపు	telugu	
word	69	10	Pink	Gulabi	పింక్	telugu	
word	70	10	Milk	Paalu	పాలు	telugu	
word	71	10	Curd	Perugu	పెరుగు	telugu	
word	72	10	Ghee	Neiyyi	ನಯ್ಯ	kannada	kannada-script
word	73	10	Rice	Beeyam	బియ్యం	telugu	
word	74	10	Wheat	Godhumalu	గోధుమలు	telugu	
word	75	10	Vegetable				no-romanization no-script
word	76	10			గుడ్డు	telugu	no-english no-romanization
word	77	10	Salt	Uppu	ఉప్పు	telugu	
word	78	10	Sugar	Panchadaara	పంచదార	telugu	
word	79	10	Fire	Agni	అగ్ని	telugu	
word	80	10	Run	Parugethu	పరుగెత్తు	telugu	
word	81	11	Thief	Donga	దొంగ	telugu	
