telugu	action	english	example	notes	reason
తన	edit	own (his/her own — points back to the subject)	vāḍu tana nānna lāgā māṭlāḍtāḍu	Contrast atani "his" = someone else's. Ravi tana pustakaṁ = his own book; Ravi atani pustakaṁ = someone else's.	The merged gloss said "his", which came from the English frequency list. tana is the reflexive — using it for any "his" is the exact mistake the word exists to prevent.
ది	drop				Telugu has no definite article. "the = ది" is an artefact of translating an English frequency list word by word.
తను	drop				The book prints తను for "eat", but తను is "himself/herself" — తిను is eat. Surfaced by tools/minimal_pairs.py as a bogus tanu/tānu contrast.
భోజనం	edit	full meal, lunch (pairs with chēyi)	nēnu bhōjanaṁ chēstunnānu	Three words where English says "meal": tiṇḍi = snack, bhōjanaṁ = full meal/lunch, ṭiphin = breakfast.	Generated gloss was "food / meal; MealsBhojanam" — the second half is a source's own header row leaking through. Surfaced while writing lesson 8.
ऊदా	drop				Devanagari script, not Telugu — junk row from the old decks
కీ	drop				fold collision with the dative -ki; not worth a card
ఆ	edit	that (far demonstrative — ā pustakaṁ, "that book")	ā pustakaṁ balla mīda undi		The old deck glossed it "um... (pause filler)". It is the far demonstrative, pair of ī. Frequency put it at position 9, so it would have been the ninth word learned.
ఈ	edit	this / these (before a noun — ī rōju "today"; standalone "these" is ivi)	ī rōju chālā vēḍigā undi.	Attributive only — ī never stands alone. Standalone: idi "this", ivi "these". Far pair: ā.	Was glossed bare "these", which is ivi's job and collides with it at position 235. The corpus has ī exclusively before a noun and ivi exclusively standalone. Its far pair ā was already corrected the same way; this one was missed. Surfaced on day 1 of review — it is card 2.
ఆ	edit	that / those (before a noun — ā pustakaṁ "that book"; standalone "that" is adi)	ā pustakaṁ balla mīda undi	Attributive only. Near pair: ī. Standalone: adi "that one", avi "those".	Same problem the ī override fixed: "far demonstrative" is jargon that does not tell you not to answer adi. Made parallel to ī so the pair reads the same way.
రోజు	edit	day (ī rōju "today"); for "daily" the vowel lengthens to rōjū	ī rōju evaru vaṇḍāru?	Corpus: 52 uses, all "day". The "every day" sense is rōjū with a long ū.	Was glossed "day; every day (on its own, before a verb)", which is rōjū's job — and its example used rōju for "every day". Every one of the 52 corpus uses of రోజు means "day"; all 9 uses of రోజూ mean "daily". Kept the colloquial sense as a note rather than deleting it, since the lesson taught it. Question 8 for a native speaker.
రోజూ	edit	daily, every day (rōju with the vowel lengthened)	nēnu rōjū kāphī tāgutānu.	The long ū is what makes it distributive. Contrast rōju "day".	Bare "daily" gave no way to tell it from రోజు, which claimed the same sense. The two differ only in vowel length, so the cards have to name that.
అని	edit	quotative particle — closes quoted or named material (RRR ani sinimā, "a movie called RRR")	RRR ani sinimā — a movie called RRR.	Goes AFTER the words it quotes, where English puts "that" before. Also "called, named".	Led with bare "that", colliding with ā (position 9) and adi. "That" is also the least useful way in: ani has no English equivalent in that slot, it closes the quote.
వాడు	edit	he (informal — intimates only, can be rude); also the verb "use", position tells them apart	vāḍu nā phreṇḍ.	Two different words spelled the same. Default to atanu for "he".	Glossed "use" with an example meaning "he is a student" — the row merged the verb and the pronoun and kept the wrong one in front. All 33 corpus uses are the pronoun; none are the verb.
ఏమీ	edit	not any / nothing at all — needs a negative verb (ēmī lēdu "there is nothing")	peddagā ēmī lēdu	Negative polarity: never stands alone. Contrast ēmi (short i) "what".	Glossed bare "nothing". All 5 corpus uses pair it with a negative — ēmī lēdu, ēmī jargalēdu, ēmī parvālēdu. It also sits one vowel-length away from ēmi "what" at position 15, so the card has to name the contrast.
