guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
I7515c6c21d7f	32	1	ÔèýÆæÿÃ	Gopi!  Come here.	శర్మ: గోపీ ఇలారా	ocr		ÔèýÆæÿÃ : Vøï³!  CÌê Æ>!	0:455.5	no-rom
I9621c9375583	32	2	Vøí³	Why?	గోపి: ఎందుకు?	ocr		Vøí³ : G…§æþ$Mæü$?	0:488.7	no-rom
Ia19c332ae8a5	32	3	ÔèýÆæÿÃ	I will tell you something.	శర్మ: నీకొక మాట చెప్తాను.	ocr		ÔèýÆæÿÃ : ±MöMæü Ðèþ*r ^ðþ´ë¢¯èþ$.	0:521.8	no-rom
I345499d94f8f	32	4	Vøí³	What is it?	గోపి: ఏమిటి?	ocr		Vøí³ : HÑ$sìý?	0:555.0	no-rom
I063a3fc29c62	32	5	ÔèýÆæÿÃ	I will tell you if you come.	శర్మ: నువ్వు వస్తే చెప్తాను.	ocr		ÔèýÆæÿÃ : ¯èþ$Ðèþ#Ó ÐèþõÜ¢ ^ðþ´ë¢¯èþ$.	0:588.1	no-rom
I16ffd13f9650	32	6	Vøí³	If you tell me I will come. (You tell first; then I will come.)	గోపి: నువ్వు చెప్తే వస్తాను.	ocr		Vøí³ : ¯èþ$Ðèþ#Ó ^ðþõ³¢ ÐèþÝë¢¯èþ$.	0:621.3	no-rom
I182720467532	32	7	ÔèýÆæÿÃ	All right!  there is a vacancy for the post of typist in our of- fice.  Will you apply for it?	శర్మ: సర్వే మా ఆఫీసులో ఒక టైపిస్టు ఉద్యోగం ఖాళీగా ఉంది: అప్టై చేస్తావా?	ocr		ÔèýÆæÿÃ : çÜÆóÿ!  Ðèþ* BïœçÜ$ÌZ JMæü sñýOí³çÜ$t E§øÅVæü… RêäV> E…¨: Aò³•Ï ^óþÝë¢Ðé?	1:160.6;1:177.1;1:193.7	no-rom
I203cfccb2f16	32	8	Vøí³	I will apply if there is a vacancy. Will I get it if I apply?	గోపి : ఖాళీ ఉంటే అప్టై చేస్తాను. అపై చేస్తే నాకు వస్తుంది అంటావా?	ocr		Vøí³ : Rêä E…sôý Aò³•Ï ^óþÝë¢¯èþ$.  Aò³•Ï ^óþõÜ¢ ¯éMæü$ ÐèþçÜ$¢…¨ A…sêÐé?	1:226.9;1:243.4	no-rom
I18967b940288	32	9	ÔèýÆæÿÃ	How can I tell you beforehand?	శర్మ: ముందే ఎట్లా చెప్తాను?	ocr		ÔèýÆæÿÃ : Ðèþ$$…§óþ GsêÏ ^ðþ´ë¢¯èþ$?	1:276.6	no-rom
I4af35efd09ed	32	10	Vøí³	I will apply if you assure me that I will get.	గోపి : నువ్వు వస్తుంది అంటే అప్టై చేస్తాను.	ocr		Vøí³ : ¯èþ$Ðèþ#Ó ÐèþçÜ$¢…¨ A…sôý Aò³•Ï ^óþÝë¢¯èþ$.	1:309.7;1:326.3	no-rom
I93b69558a0cc	32	11	ÔèýÆæÿÃ	You first apply.  They will con- duct a test (for the candidates). Whoever scores maximum in that test will get the job.	శర్మ: ముందు నువ్వు అప్టె చెయ్యి. వాళ్ళు ఒక పరీక్ష పెడ్తారు. ఆ పరీక్షలో ఎవరికి ఎక్కువ మార్కులు వస్తే ఆ ఉద్యోగం వాళ్ళకు వస్తుంది.	ocr		ÔèýÆæÿÃ : Ðèþ$$…§æþ$ ¯èþ$Ðèþ#Ó Aò³•Ï ^ðþÆÿ$$Å. Ðéâæý$å JMæü ç³È„æü ò³yé¢Ææÿ$. B ç³È„æüÌZ GÐèþÇMìü GMæü$PÐèþ Ðèþ*Ææÿ$PË$ ÐèþõÜ¢ B E§øÅVæü… ÐéâæýåMæü$ ÐèþçÜ$¢…¨.	1:359.5;1:376.0;1:392.6;1:409.2	no-rom
I8b41dc086b39	32	12	Vøí³	Please find out about the test in detail.	గోపి: పరీక్ష గురించి వివరంగా కనుక్కో	ocr		Vøí³ : ç³È„æü Væü$Ç…_ ÑÐèþÆæÿ…V> Mæü¯èþ$MøP!	1:442.3	no-rom
I56fbbe2c5cdb	32	13	ÔèýÆæÿÃ	You come tomorrow.  It will be better if you ask for those details.  It doesn’t look nice if I ask.	శర్మ: రేపునువ్వురా! ఆ వివరాలు నువ్వ కనుక్కుంటేనే బాగుంటుంది. నేను అడిగితే బాగుండదు.	ocr		ÔèýÆæÿÃ : Æóÿç³# ¯èþ$Ðèþ#Ó Æ>!  B ÑÐèþÆ>Ë$ ¯èþ$Ðèþ#Ó Mæü¯èþ$Mæü$P…sôý¯óþ »êVæü$…r$…¨.  ¯óþ¯èþ$ AyìþW™óþ »êVæü$…yæþ§æþ$.	1:475.5;1:492.1;1:508.6	no-rom
I5cc4eb8ef76a	32	14	Vøí³	Okay.  I will come.	గోపి: అలాగే వస్తాను.	ocr		Vøí³ : AÌêVóü ÐèþÝë¢¯èþ$.	1:541.8	no-rom
Id6c309f8d89d	32	15	ÔèýÆæÿÃ	Don’t neglect it.  If you miss this opportunity you will not get it again.  If you come there I will tell our Manager about you.  Where is your brother?	శర్మ 2 నిర్లక్యం చెయ్యకు. ఈ అవకాళం పోతే మళ్ళీ రాదు. నువ్వు అక్కడికి వస్తే నీ గురించి మా మేనేజరుకు చెప్తాను. మీ అన్నయ్య ఏడి?	ocr		ÔèýÆæÿÃ : ç°ÆæÿÏ„æüüÅ… ^ðþÄæý$ÅMæü$.  D AÐèþM>Ôèý… ´ù™óþ Ðèþ$äå Æ>§æþ$.  ¯èþ$Ðèþ#Ó AMæüPyìþMìü ÐèþõÜ¢ ± Væü$Ç…_ Ðèþ* Ðóþ$¯óþfÆæÿ$Mæü$ ^ðþ´ë¢¯èþ$.  Ò$ A¯èþ²Äæý$Å Hyìþ?	1:574.9;1:591.5;1:608.1;1:624.7	no-rom
I808092ddbbd9	32	16	Vøí³	He is inside.  See, he came.	గోపి: లోపల ఉన్నాడు. అడుగో వచ్చాడు.	ocr		Vøí³ : ÌZç³Ë E¯é²yæþ$.  Ayæþ$Vø Ðèþ^éayæþ$.	2:160.6	no-rom
Icdaf0dd5e17a	32	17	ÔèýÆæÿÃ	Mohan!  By what time Hari will come?  I am thinking of talking to him since last evening.	శర్మ: మోహన్‌! హరి ఎంత సేపటి లోగా వస్తాడు? నిన్నటి నించి వాడితో మాట్లాడాలనుకుంటున్నాను.	ocr		ÔèýÆæÿÃ : Ððþ*çßý¯Œþ!  çßýÇ G…™èþ õÜç³sìý ÌZV> ÐèþÝë¢yæþ$?  °¯èþ²sìý °…_ Ðéyìþ™ø Ðèþ*sêÏyéË¯èþ$Mæü$…r$¯é²¯èþ$.	2:193.7;2:210.3;2:226.9	no-rom
Id23fcd108589	32	18	Ððþ*çßý¯Œþ	I am thinking since the day before.	మోహన్‌: నేను మొన్నటి నించి అనుకుం- టున్నాను.	ocr		Ððþ*çßý¯Œþ: ¯óþ¯èþ$ Ððþ$$¯èþ²sìý °…_ A¯èþ$Mæü$…& r$¯é²¯èþ$.	2:260.0;2:276.6	no-rom
