lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
35	1	MæüÐèþ$Ë	My dear! I am toasting the bread toast for breakfast. Please have it.	కమల : ఏమండీ! ఇవ్వాళ టిఫినుకు 'టెడ్డు కాలుస్తున్నా. తినండి.	ocr		MæüÐèþ$Ë : HÐèþ$…yîþ!  CÐéÓâæý sìýíœ¯èþ$Mæü$ {»ñýyæþ$z M>Ë$çÜ$¢¯é².  †¯èþ…yìþ.	0:439.0;0:455.6	no-rom
35	2	Æ>Ðèþ*Æ>Ðèþ#	If you toast it like this, it is no good.  You have to toast it for some more time.  That's enough.  Don't over toast it. See, it is burning.	రామారావు : ఇలా కాలిస్తే బాగుండదు. ఇంకొంచెం కాల్చు. మాడ్చకు. అదుగో మాడుతున్నది.	ocr		Æ>Ðèþ*Æ>Ðèþ# : CÌê M>ÍõÜ¢ »êVæü$…yæþ§æþ$. C…Mö…^ðþ… M>Ë$a.  Ðèþ*yæþaMæü$. A§æþ$Vø Ðèþ*yæþ$™èþ$¯èþ²¨.	0:488.7;0:505.3;0:521.9	no-rom
35	3	MæüÐèþ$Ë	The pan is very hot.	కమల :. పెనం బాగా వేడిగా ఉంది.	ocr		MæüÐèþ$Ë : ò³¯èþ… »êV> ÐóþyìþV> E…¨.	0:571.6	no-rom
35	4	Æ>Ðèþ*	See how you have burnt it.  Is this the way of toasting the bread? Ravi!  Get another bread.	రామా : చూడు ఎట్లా మాడ్చావో?. బ్రెడ్‌ కాల్చటం ఇట్లానా? రవీ! ఇంకొక టెడ్‌ తే!	ocr		Æ>Ðèþ* : ^èþ*yæþ$ GsêÏ Ðèþ*yéaÐø?  {»ñýyŠþ M>Ëar… CsêÏ¯é?  ÆæÿÒ!  C…MöMæü {»ñýyŠþ ™óþ!	0:604.7;0:621.3;0:637.9	no-rom
35	5	ÆæÿÑ	I will get it.  Please give me money.	రవి. : తెస్తాను డబ్బులివ్వండి.	ocr		ÆæÿÑ : ™ðþÝë¢¯èþ$ yæþº$¾ÍÐèþÓ…yìþ.	1:160.6	no-rom
35	6	Æ>Ðèþ*	Here it is.  You have to get it soon.	రామా : ఇదుగో! తొందరగా తేవాలి ర	ocr		Æ>Ðèþ* : C§æþ$Vø!  ™ö…§æþÆæÿV> ™óþÐéÍ Æ>!	1:193.7	no-rom
35	7	ÆæÿÑ	You will not have change for five rupees in that shop.	రవి. : అయిదు రూపాయలకు ఆ కొట్లో చిల్లరఉండదు.	ocr		ÆæÿÑ : AÆÿ$$§æþ$ Ææÿ*´ëÄæý$ËMæü$ B MösZÏ _ËÏÆæ E…yæþ§æþ$.	1:226.9;1:243.4	no-rom
35	8	Æ>Ðèþ*	Change it in another shop.	రామా : ఇంకొక కొట్లో మార్చు.	ocr		Æ>Ðèþ* : C…MöMæü MösZÏ Ðèþ*Ææÿ$a.	1:276.6	no-rom
35	9	ÆæÿÑ	Why is this five-rupees note torn like this?  If you hold it, it will be torn further.  This will not be accepted.	రవి : ఈ నోటు ఇట్లా చినిగిందేం? చూడండి. పట్టుకుంటే ఇంకొంచెం 'చినుగుతున్నది. ఇది మారదు.	ocr		ÆæÿÑ : D ¯ør$ CsêÏ _°W…§óþ…? ^èþ*yæþ…yìþ.  ç³r$tMæü$…sôý C…Mö…^ðþ… _¯èþ$Væü$™èþ$¯èþ²¨.  C¨ Ðèþ*Ææÿ§æþ$.	1:309.7;1:326.3;1:342.9	no-rom
35	10	Æ>Ðèþ*	It will be accepted.  You go.	రామా : మారుతుంది. వెళ్ళరా!	ocr		Æ>Ðèþ* : Ðèþ*Ææÿ$™èþ$…¨.  ÐðþâæýåÆ>!	1:376.0	no-rom
35	11	MæüÐèþ$Ë	Why do you change that five- rupees note now?  I have change.  We owe two rupees to that shop-keeper.	కమల : ఇప్పుడు ఆ నోటు మార్చటం ఎందక? నా దగ చిల్లర ఉంది. ఆ కొట్టకనికి మను రెడు రూపాయలు బీ ఉన్నాం.	ocr		MæüÐèþ$Ë : Cç³šyæþ$ B ¯ør$ Ðèþ*Ææÿar… G…§æþ$Mæü$? ¯é §æþVæüYÆæÿ _ËÏÆæÿ E…¨.  B Mört™èþ°Mìü Ðèþ$¯èþ… Æðÿ…yæþ$ Ææÿ*´ëÄæý$Ë$ »êMîü E¯é²….	1:409.2;1:425.8;1:442.3	no-rom
35	12	Æ>Ðèþ*	The previous loan was cleared. Did you borrow again?	రామా : ఆ బాకీ తీరింది గదా! మళ్ళీ అప్పు చేశావా?	ocr		Æ>Ðèþ* : B »êMîü ¡Ç…¨ Væü§é!  Ðèþ$äå Aç³š ^óþÔéÐé?	1:475.5;1:492.1	no-rom
35	13	MæüÐèþ$Ë	I brought vegetables in the morn- ing.	కమల : ఉదయం కూరగాయలు తెచ్చాను.	ocr		MæüÐèþ$Ë : E§æþÄæý$… Mæü*ÆæÿV>Äæý$Ë$ ™ðþ^éa¯èþ$.	1:525.2	no-rom
35	14	Æ>Ðèþ*	All right!  You clear his account first.  Get bread with the bal- ance amount.	రామా : సరే! ముందు ఆ అప్పు తీర్చు! మిగిలిన డబ్బుతో బ్రెడ్‌ తీసుకురా!	ocr		Æ>Ðèþ* : çÜÆóÿ!  Ðèþ$$…§æþ$ B Aç³š ¡Ææÿ$a! Ñ$WÍ¯èþ yæþº$¾™ø {»ñýyŠþ ¡çÜ$Mæü$Æ>!	1:558.4;1:574.9	no-rom
35	15	MæüÐèþ$Ë	When will the school be re- opened?  We have to admit Gita in the school.	కమల : స్ఫూలు ఎప్పుడు తెరుస్తారు? గీతను స్కూల్లో చేర్చాలిగదా!	ocr		MæüÐèþ$Ë : çÜ*PË$ Gç³šyæþ$ ™ðþÆæÿ$Ýë¢Ææÿ$?  X™èþ¯èþ$ çÜ*PÌZÏ ^óþÆ>aÍVæü§é!	1:608.1;1:624.7	no-rom
35	16	Æ>Ðèþ*	We will admit (her).  The school will be reopend tomorrow only.	రామా :. చేరుద్దాం. రేపే తెరుస్తారు.	ocr		Æ>Ðèþ* : ^óþÆæÿ$§éª….  Æóÿõ³ ™ðþÆæÿ$Ýë¢Ææÿ$.	2:160.6	no-rom
35	17	X™èþ	I will join the school where the elder brother is studying.	గీత. : నేను అన్నయ్యవాళ్ళ స్కూల్లో చేర్తాను.	ocr		X™èþ : ¯óþ¯èþ$ A¯èþ²Äæý$ÅÐéâæýå çÜ*PÌZÏ ^óþÆ>¢¯èþ$.	2:193.7	no-rom
35	18	Æ>Ðèþ*	Don't cry, my dear!  Your brother is in a high school.  You join the elementary school this year. Later you can go to high school.	రామా :. ఏడవకమ్మా, అన్నయ్యది హైస్కూలు గదా! ఈ సంవత్సరం ఎలిమెంటరీ స్మూల్లోచేరు.. తర్వాత హైస్కూలు.	ocr		Æ>Ðèþ* : HyæþÐèþMæüÐèþ*Ã, A¯èþ²Äæý$Å¨ òßýOçÜ*PË$ Væü§é!  D çÜ…Ðèþ™èþÞÆæÿ… GÍÐðþ$…rÈ çÜ*PÌZÏ^óþÆæÿ$.  ™èþÆ>Ó™èþ òßýOçÜ*PË$.	2:226.9;2:243.4;2:260.0	no-rom
35	19	ÆæÿÑ	Daddy!  Here is the bread. There is some commotion at that shop.	రవి. : నాన్నగారూ! ఇదుగో బ్రెడ్‌. ఆ కొట్టు దగ్గర హడావుడిగా ఉంది.	ocr		ÆæÿÑ : ¯é¯èþ²V>Ææÿ*!  C§æþ$Vø {»ñýyŠþ.  B Mör$t §æþVæüYÆæÿ çßýyéÐèþ#yìþV> E…¨.	2:293.2;2:309.7	no-rom
35	20	Æ>Ðèþ*	Why?	రామా : ఎందుకురా హడావుడి?	ocr		Æ>Ðèþ* : G…§æþ$Mæü$Æ> çßýyéÐèþ#yìþ?	2:342.9	no-rom
35	21	ÆæÿÑ	There has been a high gale and rain, you know!  Then the outer roof (pandal) of the shop fell down.	రవి. : ఇందాక పెద్ద గాలివాన వచ్చింది గదా! అప్పుడు ఆ కొట్టు పందిరి కూలింది.	ocr		ÆæÿÑ : C…§éMæü ò³§æþª V>ÍÐé¯èþ Ðèþ_a…¨ Væü§é!  Aç³šyæþ$ B Mör$t ç³…¨Ç Mæü*Í…¨.	2:376.0;2:392.6;2:409.2	no-rom
35	22	X™èþ	Daddy!  This gun is not work- ing.   You please fire it.	గీత. 2 నాన్నగారూ! ఈ తుపాకీ పేలటం లేదు. మీరు పేల్పండి.	ocr		X™èþ : ¯é¯èþ²V>Ææÿ*!  D ™èþ$´ëMîü õ³Ër… Ìôý§æþ$.  Ò$Ææÿ$ õ³Ëa…yìþ.	2:442.3;2:458.9	no-rom
35	23	ÆæÿÑ	Let me see!  Give it me.  I will fire it.  Don't worry.  I will give it back to you.	రవి. : ఏది? నాకు ఇవ్వవే! నేను 'పేలుస్తాను.. మళ్ళీ నీకే ఇస్తానే.	ocr		ÆæÿÑ : H¨?  ¯éMæü$ CÐèþÓÐóþ!  ¯óþ¯èþ$ õ³Ë$Ýë¢¯èþ$.  Ðèþ$äå ±Móü CÝë¢¯óþ.	2:492.1;2:508.6	no-rom
