guid	te	en
W08dd7ee6d978	కథ	story
W45c71bbfc964	ఒకటి	one (standalone — "oka" before a noun)
W4ad4f07ca052	మైక్	Mike (name)
W68b384520d02	ఒక	a / an (indefinite — optional, for emphasis)
Wee21e097041c	వంటవాడు	cook (male)
W5477dc44009b	ప్రతీ	every, each
W449c4512d761	ఉదయం	morning
W74cc81bfd399	గంటలకు	gaṇṭa (hour) + -la (-la — the plural -lu in its oblique form, used before anothe) + -ku (-ku — to, for (dative; goes after the noun))
W0db9e2aed8cf	నిద్ర	sleep
We728d7fed3d8	లేస్తాడు	he gets up
W84b4e9cbceb5	అతను	he (neutral — the default form)
W45170ec366c6	బ్రేకఫాస్ట్	breakfast
W74b43afbf3ad	చేసి	having made, having done
Wfcff32def61a	కప్పు	cup
W06a51b8a99a1	కాఫీ	coffee
W16aeaba03a42	తాగుతాడు	tāgu — drink
Wc767c7eeb6e4	అతని	his (neutral — the default form)
W4a30ae01ec58	కారులో	kāru (car (loanword)) + -lō (in, at (no distinction in Telugu))
Wc41b4fca790c	పనికి	pani (work, task (pairs with chēyi)) + -ki (to (goes after the noun))
Wab4839777360	వెళతాడు	he goes
W1a227616ceb1	ఏడున్నర	half past seven
W69857074cc0f	పని	work, task (pairs with chēyi)
We1941d2a764b	మొదలవుతుంది	(it) begins / starts
Wba870771c8da	రెస్టారెంట్లో	in a restaurant
Wccc424311519	ఆకలితో	ākali (hunger) + -tō (with (goes after the noun))
W4c2a40859a1f	ఉన్న	who is / that are
W605871285351	కస్టమర్లకు	kasṭamar (customer (loanword)) + -la (-la — the plural -lu in its oblique form, used before anothe) + -ku (-ku — to, for (dative; goes after the noun))
Wfbc478378a74	ఆహారాన్ని	food (as object)
Wa26a2dae6837	వండి	having cooked
W77bd35f2204b	పెడతాడు	he puts, he serves
Wb76e8057a781	అనేక	several; many
W55e4fd8ef5e2	దేశాల	of countries
W22e7bb271085	నుండి	since
Wdd06537e0681	కస్టమర్లు	kasṭamar (customer (loanword)) + -lu (-lu — the general plural suffix)
Wd9f567b0f283	వస్తారు	rā — come (base verb — becomes raṇḍi with aṇḍi)
W7c947c8cc919	వాళ్ళు	they (people)
W7f87fdcecc49	వివిధ	various, different
W79d4de419088	భాషలు	bhāṣa (language; LanguageBaasha) + -lu (-lu — the general plural suffix)
W6f7539ed4829	మాట్లాడుతారు	māṭlāḍu — speak, talk (māṭa + āḍu)
W4b13ca8cc285	చాలా	very / a lot; much
W4e831da2550e	మంది	people (counter word — use with larger numbers)
W1b885bdd91c4	సరదాగా	fun
Wd002c3e78947	ప్రజలను	people (as object)
W13250ab92d66	కలుస్తూ	meeting, while meeting
Wa38c7f713d0e	ఉంటాడు	uṇḍu — be, stay, live, exist (the to-be verb)
Wf71e2fa0c9f4	కస్టమర్లతో	kasṭamar (customer (loanword)) + -la (-la — the plural -lu in its oblique form, used before anothe) + -tō (with (goes after the noun))
Wd4516048a296	మాట్లాడేటప్పుడు	when (he) talks
W28ace4e15416	సంతోషపడుతాడు	he feels happy
Wf8f174b24f27	ఇదే	similar
We26744bbf91c	మరో	another, a different
W1872f6818621	విధంగా	in a (certain) way
W7ee513466115	చెప్పబడింది	it was told
We62b6060c262	నేను	I
W7226f929fbc0	ఆరు	six
Wb6a64b2b290f	లేస్తాను	I get up
Wf4b10b40df0e	నా	my (before a noun)
W599bd704c9dc	తాగుతాను	I will drink
W60f454eb55aa	వెళతాను	I go
Weac86004fbbd	వంటవాడిని	I am a cook
Wb46f3cd3e12e	పెడతాను	I will put (future)
W4367f9fcb6a4	ఉంటాను	I will be / I will stay (future)
W71b9ba1105d5	త్వరగా	quickly, soon
W4a63b6fd5117	లేస్తాడా	does he get up?
W3bfb62c32e88	అవును	yes
W88d81868be12	రెండు	two; both
W9361b53ac971	టీ	tea
Wc0da00a6cf79	తాగుతాడా	does he drink?
Wa6f2c0ae3aa2	లేదు	no — it doesn't exist / isn't there / I don't have it
Wf474a58719bb	తాగడు	tāgu — drink
Wd9e8af67f604	మాత్రమే	only
