id	telugu	roman	english	flags	lemma	source	raw_rom	decision	replacement
W0328	ವಲ್ಲಿ	ವಲ್ಲಿ	Younger Sister	kannada-script		book1000	Chelli		
W0371	ನಯ್ಯ	ನಯ್ಯ	Ghee	kannada-script		book1000	Neiyyi		
W0425	ವವಿ	ವವಿ	Ear	kannada-script		book1000	Chevi		
W0290		Edi ? 2 ?	Which ?	needs-script no-script		book1000	Edi ? 2 ?		
W0292		Enni ? 2 ?	How Many ?	needs-script no-script		book1000	Enni ? 2 ?		
W0302		Nijanga ?	Really ?	needs-script no-script		book1000	Nijanga ?		
W0303		Auna ? ដ ?	Is It ?	needs-script no-script		book1000	Auna ? ដ ?		
W0417		Lekha ඒඛ	Letter	needs-script no-script		book1000	Lekha ඒඛ		
W0480		Anthataa	Everywhere	needs-script no-script		book1000	Anthataa		
W0515		GORILA Balla	Table	needs-script no-script		book1000	GORILA Balla		
W0567		Samadhanam	Reply	needs-script no-script		book1000	Samadhanam		
W0203	లాగా	lāgā	like, as	bound-suffix		site	lāga / -lā		
W0207	పై	pai	on, upon	bound-suffix		site	-pai		
W0273	గా	gā	as	bound-suffix		top1000			
W0280	న	na	on	bound-suffix		top1000			
W0283	తో	tō	with	bound-suffix		top1000			
W0295	నుండి	nuṇḍi	from; since	bound-suffix multi-gloss		top1000			
W0312	ది	di	the	bound-suffix		top1000			
W0314	యొక్క	yokka	of	bound-suffix		top1000			
W0316	కు	ku	to	bound-suffix		top1000			
W0320	లో	lō	in	bound-suffix		top1000			
W0352	కూడా	kūḍā	also; even	bound-suffix multi-gloss		top1000			
W0670	వరకు	varaku	until	bound-suffix		top1000			
W0119	థాంక్స్ అండి	thānks aṇḍi	thank you (colloquial hybrid — the everyday choice)	english-respelled inflected phrase		site	thanks aṇḍi		
W0271	సారంగి	sārangi	sarangi — bowed string instrument	english-respelled		site	sārangi		
W0343	సెట్	seṭ	set	english-respelled		top1000			
W0362	పోర్ట్	pōrṭ	port	english-respelled		top1000			
