id	guid	telugu	roman	english	pronunciation	register	known_pct	new_words	island	rank	source	raw_rom	flags	notes	unlock_order	unlock_day
S0001	Se4ca02f7a407	నేను విద్యార్థిని.	nēnu vidyārthini.	I am a student.			100				site	nēnu vidyārthini.			186	13
S0002	Sd4f00841816f	మనం విద్యార్థులము.	manaṁ vidyārthulamu.	We are students.			100				site	manam vidyārthulamu.		colloquially often -am		
S0003	S940b6795ccde	మీరు టీచర్.	mīru ṭīchar.	"""You are a teacher"" (to a teacher) [respectful]"		respectful	100				site	mīru ṭīcharu.		formal → mīru, no marker	67	5
S0004	Se8238542afad	నువ్వు విద్యార్థివి.	nuvvu vidyārthivi.	"""You are a student"" (to a student) [informal]"		informal	100				site	nuvvu vidyārthivi.		informal → nuvvu + marker -vi	186	13
S0005	Scea2b95dd907		manam championlamu.	"""We are the champions"" (you're a champion too)"			100				site	manam championlamu.	needs-script	inclusive we → -amu, vowel eaten		
S0006	S4f392d3cc514	వీళ్ళు / వాళ్ళు.	vīḷḷu / vāḷḷu.	"""These people / those people"""			100				site	vīḷḷu / vāḷḷu.		near ī- vs distant ā-	525	35
S0007	S4a5c37a9fd10	ఈవిడ, ఇతను, ఇవి.	īviḍa, itanu, ivi.	Give the near partner for āviḍa, atanu, and avi.			100				site	īviḍa, itanu, ivi.		keep the same meaning/register; change distance	524	35
S0008	S3cd380ae2c0a	నమస్కారం.	namaskāraṁ.	Hello. (from Lesson 1)			100				site	namaskāraṁ.		also: Hello — palms together, fingers up	201	14
S0009	S93e68ea9f6d1	నా పేరు ______.	nā pēru ______.	My name is ______.			100				site,book1000	nā pēru ______.		also: My name is	31	3
S0010	Sde271691b094	నా వయసు ______.	nā vayasu ______.	My age is ______.			100				site	nā vayasu ______.		e.g. nā vayasu muppai āru = 36	255	17
S0011	Sd94be23a9264	నేను ______ ని.	nēnu ______ ni.	I am a ______. (English profession word is fine)			100				site	nēnu ______ ni.			27	2
S0012	Sef61fe1ea8f4	నేను ______ ని. / మాది ______.	nēnu ______ ni. / mādi ______.	I am ______. / Ours is ______.			100				site	nēnu ______ ni. / mādi ______.			202	14
S0013	Sa2b0aa084ccd	మాది ______.	mādi ______.	Our hometown is ______.			100				site	mādi ______.			202	14
S0014	Sf3d29d4c0032	మా మాతృభాష ______.	mā mātṛbhāṣa ______.	Our mother tongue is ______.			100				site	mā mātṛbhāṣa ______.			642	43
S0015	S09cb7801a7b2	మా నాన్న పేరు ______.	mā nānna pēru ______.	My father's name is ______.			100				site	mā nāna pēru ______.			68	5
S0016	Sc279c5b29a73	మా అమ్మ పేరు ______.	mā amma pēru ______.	My mother's name is ______.			100				site	mā amma pēru ______.			90	6
S0017	S0b5cd455ebf9	నా భార్య / నా భర్త పేరు ______.	nā bhārya / nā bharta pēru ______.	My wife's / husband's name is ______.			100				site	nā bhārya / nā bharta pēru ______.			374	25
S0018	S8a9816b3581a	అతను ఒక ______. / ఆమె ఒక ______.	atanu oka ______. / āme oka ______.	He is a ______. / She is a ______. (Lesson 1 pronouns + oka)			100				site	atanu oka ______. / āme oka ______.			128	9
S0019	S7a0f7f81657e	ధన్యవాదాలు.	dhanyavādālu.	Thank you.			100				site,anki	dhanyavādālu.			55	4
S0020	S48943a45df6d	నేను అబ్బాయిని.	nēnu abbāyini.	I am a boy.			100				site	nēnu abbāyini.			129	9
S0021	Sdb2f73fa9ee9	నేను అమ్మాయిని.	nēnu ammāyini.	I am a girl.			100				site	nēnu ammāyini.			640	43
S0022	S63736ce50d3b	నేను మనిషిని.	nēnu maniṣini.	"""I am a person / a human being."""			100				site	nēnu manishini.		manishi already ends in -i, so just add -ni	69	5
S0023	S7214cdffba12	నేను ఇంజినీర్‌ని.	nēnu injinīrni.	I am an engineer.			100				site	nēnu enjinīrni.		the normal way	749	50
S0024	S672c9950b5c1	నా వయసు ఇరవై.	nā vayasu iravai.	My age is 20.			100				site	nā vayasu iravai.		iravai = 20, muppai = 30	256	18
S0025	S263cf2f14282	నేను భారతీయుడిని.	nēnu bhāratīyuḍini.	"""I am an Indian"" (male speaker)."			100				site	nēnu bhāratīyuḍini.		male · -ḍu → -ḍi before -ni		
S0026	S68be86965ee0	మాది ఇండియా.	mādi iṇḍiyā.	Ours is India.			100				site	mādi India.		same information, family framing	396	27
S0027	S8ba906e80768	మా అమ్మ.	mā amma.	"How do you say ""my mother""?"			100				site	mā amma.		"literally ""our mother"" — never nā amma"	90	6
S0028	S0689719b076e	మా నాన్న.	mā nānna.	"How do you say ""my father""?"			100				site	mā nāna.		family unit → mā	68	5
