guid	te	sense_no	gloss	pos	explain	context_guid	status
W6a13c1ec8fa5	అంతేకాక	1	besides, moreover	conjunction	Literally 'not only that' — అంతే 'that much' plus కాక 'not being'. It links an additional point to what came before.	M3a4fc6ec99e8	draft
Wa2af3903749a	అడిగాను	1	I asked	verb	past, 1sg of అడుగు	M8076b4cb29dc	draft
Wfdc1ca9c7bfb	అడిగింది	1	she asked	verb	past, 3sg fem of అడుగు	Mffda6cc3408f	draft
W183e7f689f3f	అతనితో	1	with him	pronoun + case	అతను 'he' takes the oblique stem అతని before -తో 'with'. In a causative sentence this marks the person made to act.	Med5880a7ae78	draft
W061e7d242878	అనుకుంటాడా	1	does he think?	verb	3sg masc + the -ā question ending	M2e772bf4841b	draft
W181929469ac2	అనుకుంటాడు	1	he thinks	verb	habitual/future, 3sg masc of అనుకో	M3dd487b29236	draft
Weaf85738360f	అనుకుంటున్నాడా	1	is he thinking of …?	verb	present continuous + the -ā question ending	Mda60d45bba13	draft
W52628d60fa05	అనుకుంటున్నాడు	1	he is thinking, he wants to	verb	present continuous, 3sg masc of అనుకో	Mf67855827c10	draft
Wd3254db99688	అనుకుంటోందా	1	is she thinking of …?	verb	present continuous + the -ā question ending	M77d0600b5e5d	draft
W16f569d28e1f	అనుకుంటోంది	1	she is thinking, she wants	verb	present continuous, 3sg fem of అనుకో	Mfcbd2d509080	draft
Wb94ac3309d69	అయ్యి	1	having become	verbal participle of అగు		M322c8beeeed2	draft
W7a7857bca50c	అలసిపోయాము	1	we got tired	verb	past, 1pl of అలసిపో	Md34e6a9281a5	draft
W18a419859f5f	అలసిపోయారా	1	did they get tired?	verb	past, 3pl + the -ā question ending	M3661ae1b3008	draft
W48719ae31ec4	అలసిపోయారు	1	they got tired	verb	past, 3pl of అలసిపో	Ma1109e049555	draft
W28620a622aa7	అవుతుందా	1	does it become? / is it time?	verb	3sg + the -ā question ending	M085190c727ce	draft
Wccc424311519	ఆకలితో	1	with hunger, hungry	noun + case	ఆకలి 'hunger' with -తో 'with'. Telugu describes this state as accompaniment — literally 'with hunger' — where English uses an adjective.	M0fbf39d9b85f	draft
W4ac7b621b4dd	ఆడటం	1	playing (the act of playing)	verbal noun	ఆడు 'to play' with -టం, which makes a verbal noun — the equivalent of English '-ing' used as a noun. It can then take case endings and act as a subject or object, as in ఆడటం ఇష్టం 'likes playing'.	Ma43404cd274b	draft
We20a72864445	ఆడుకోవడం	1	playing	verbal noun of ఆడుకో		M24726d63a47c	draft
Wb2be95db204d	ఆడుకోవడమంటే	1	as for playing	verbal noun ఆడుకోవడం + అంటే		Ma43404cd274b	draft
W3d16b3d25104	ఆదా	1	saving	noun	Used with చేయు as ఆదా చేయు 'to save (money)'. Telugu forms a great many verbs by pairing a noun like this with చేయు 'do' or అవు 'become'.	Md45a97459e69	draft
W6b72d39f33e6	ఆమెకు	1	to her / for her	pronoun + case	ఆమె 'she' with the dative -కు. As with names, this is the form used for the person experiencing something: ఆమెకు ఇష్టం is 'she likes it', literally 'to her it is a liking'.	Mcc6aaae188a9	draft
Waef6f98d6a78	ఆలోచిస్తున్నాడా	1	is he thinking?	verb + question	ఆలోచిస్తున్నాడు 'he is thinking' (present continuous) plus the question marker.	M1293c455d81a	draft
Wfbc478378a74	ఆహారాన్ని	1	food (as object)	noun	ఆహారం in the accusative	M0fbf39d9b85f	draft
W46a53227ba44	ఇంగ్లీషు	1	English (the subject)	noun (English loanword)		M77383f958096	draft
We29055da4751	ఇంగ్లీష్	1	English (the language)	proper noun	The language name as borrowed and used in ordinary speech.	M77383f958096	draft
W353f5a99d940	ఇంటి	1	of the house, home	noun	ఇల్లు in its oblique form	Md45a97459e69	draft
W73e28d7b1aa7	ఇంట్లోనూ	1	at home too	noun + case + additive	The oblique stem ఇంట్‌ of ఇల్లు 'house', plus the locative -లో, plus -నూ 'also'. Note ఇల్లు changes shape before endings — an irregularity worth memorising, since the word is very common.	M9368104310c4	draft
W00597bb4f26b	ఇంట్లోనే	1	at home itself / right at home	noun + case + emphatic	ఇల్లు 'house' takes the oblique stem ఇంట్‌, adds the locative -లో, then the emphatic -ఏ. That final vowel means 'precisely, none other' — staying *at home* rather than going anywhere.	Md45a97459e69	draft
Wd81914c67a6e	ఇష్టపడడం	1	liking	verbal noun of ఇష్టపడు		Mc451ce690e3e	draft
