lesson	seq	speaker	en	rom	legacy	keys	flags
10	1	çÜ$Væü$×ý	Mother! when is the Dasara festival?		çÜ$Væü$×ý : AÐèþ*Ã! §æþçÜÆ> ç³…yæþVæü Gç³šyæþ$?	0:447.6	no-rom
10	2	´ëÆæÿÓ†	This is the Dasara festival period. Dasara is a ten-day festival.The important celebra- tions fall on the last three days.		´ëÆæÿÓ† : Cç³šyæþ$ §æþçÜÆ> ç³…yæþVóü. §æþçÜÆ> ç³¨ ÆøkË ç³…yæþVæü. _ÐèþÇ Ðèþ$*yæþ$ ÆøkË$ Ðèþ$$QÅÐðþ$O¯èþ ç³…yæþVæüË$.	0:478.1;0:493.3;0:508.5	no-rom
10	3	çÜ$Væü$×ý	What are the names of those days?		çÜ$Væü$×ý : B ç³…yæþVæüË õ³ÆóÿÏÑ$sìý?	0:539.0	no-rom
10	4	´ëÆæÿÓ†	The first day is .  The second day is The last day is		´ëÆæÿÓ† : Ððþ$$§æþsìýÆøk §æþ$Æ>YçÙtÑ$. Æðÿ…yø Æøk Ðèþ$çßýÆæÿ²ÐèþÑ$. _ÐèþÇüÆøk ÑfÄæý$ §æþÔèýÑ$.	0:569.4;0:584.7;0:599.9	no-rom
10	5	çÜ$Væü$×ý	What is the date of Vijayadasami.		çÜ$Væü$×ý : ÑfÄæý$§æþÔèýÑ$ G¯ø² ™éÈMæü$?	1:179.8	no-rom
10	6	´ëÆæÿÓ†	20th of this month.		´ëÆæÿÓ† : CÆæÿÐèþÄñý*Å ™éÈMæü$.	1:210.2	no-rom
10	7	çÜ$Væü$×ý	Today is 18th. Tomorrow is 19th. The day after tomorrow is 20th. Then Vijayadasami is on the day after tomorrow.		çÜ$Væü$×ý : CÐóþÓâæý ç³§ðþ®°Ñ$§ø ™éÈMæü$. Æóÿç³# ç³…«§öÑ$Ã¨. GË$Ï…yìþ CÆæÿÐðþO. AÆÿ$$™óþ ÑfÄæý$§æþÔèýÑ$ GË$Ï…yìþ A¯èþ²Ðèþ*r!	1:240.7;1:255.9;1:271.1	no-rom
10	8	ÑfÄæý$	Gita! Whose saris are these in this box?		ÑfÄæý$ : X™é! D ò³sñýtÌZ `ÆæÿË$ GÐèþÇÑ?	1:328.9	no-rom
10	9	X™èþ	Some are mine.		X™èþ : Mö°²¯éÑ.	1:359.4	no-rom
10	10	ÑfÄæý$	Are these new saris?		ÑfÄæý$ : CÑ Mö™èþ¢ `ÆæÿÌê?	1:389.8	no-rom
10	11	X™èþ	Yes. They are festival saris. Now it is Dasara. Isn't it?		X™èþ : AÐèþ#¯èþ$. CÑ ç³…yæþ$Væü `ÆæÿË$. Cç³šyæþ$ §æþçÜÆ> Mæü§é!	1:420.3;1:435.5	no-rom
10	12	ÑfÄæý$	Yes. Are all these saris yours?		ÑfÄæý$ : AÐèþ#¯èþ$. D `ÆæÿË$ A±² ±Ðóþ¯é?	1:465.9;1:481.2	no-rom
10	13	X™èþ	Some are mine.		X™èþ : Mö°² ¯éÑ.	1:511.6	no-rom
10	14	ÑfÄæý$	Which are yours?		ÑfÄæý$ : HÑ ±Ñ?	1:542.1	no-rom
10	15	X™èþ	This green sari and this rose sari are mine.		X™èþ : D BMæü$ç³^èþa `Ææÿ, D Væü$Ìê½ Ææÿ…Væü$ `Ææÿ ¯éÑ.	1:572.5;1:587.7	no-rom
10	16	ÑfÄæý$	Whose saris are the rest? The red sari and the white sari		ÑfÄæý$ : Ñ$WÍ¯èþ `ÆæÿË$ GÐèþÇÑ?	1:618.2	no-rom
